Simbad_Name,Simbad_Type,Simbad_Dist_kpc,RA_center,Dec_center,Our_Dist_kpc,Our_Radius_pc,Members,Source_File
ACO  2325,ClG,Unknown,307.5694,-24.3556,1.0,10.99,421,cluster_d1.00kpc_ra307.5694_dec-24.3556_id35.csv
ACO  3652,ClG,Unknown,298.03296666666665,-63.732466666666674,"1.0, 1.122018454301964, 1.2589254117941673",17.863333333333333,"2188, 812, 177",cluster_d1.00kpc_ra298.1357_dec-63.4326_id10.csv | cluster_d1.12kpc_ra297.6909_dec-63.8654_id12.csv | cluster_d1.26kpc_ra298.2723_dec-63.8994_id7.csv
ACO  3661,ClG,Unknown,300.7346,-41.85125,"1.122018454301964, 1.2589254117941673",15.13,"542, 799",cluster_d1.12kpc_ra300.7879_dec-41.7278_id31.csv | cluster_d1.26kpc_ra300.6813_dec-41.9747_id22.csv
ACO  3662,ClG,Unknown,303.8712,-67.423,1.0,16.47,931,cluster_d1.00kpc_ra303.8712_dec-67.4230_id7.csv
ACO  3668,ClG,Unknown,302.7555,-41.5051,1.122018454301964,8.65,319,cluster_d1.12kpc_ra302.7555_dec-41.5051_id32.csv
ACO  3678,ClG,Unknown,306.8574,-31.5238,1.0,7.9,295,cluster_d1.00kpc_ra306.8574_dec-31.5238_id31.csv
ACO S  842,ClG,Unknown,301.3203,-39.5379,1.2589254117941673,16.99,583,cluster_d1.26kpc_ra301.3203_dec-39.5379_id23.csv
ACO S  852,ClG,Unknown,302.6333,-33.8516,1.2589254117941673,7.13,199,cluster_d1.26kpc_ra302.6333_dec-33.8516_id25.csv
ACO S  853,ClG,Unknown,302.2084,-47.0703,1.122018454301964,8.12,294,cluster_d1.12kpc_ra302.2084_dec-47.0703_id26.csv
ACO S  855,ClG,Unknown,303.2916,-32.1511,1.0,12.09,480,cluster_d1.00kpc_ra303.2916_dec-32.1511_id29.csv
ACO S  874,ClG,Unknown,306.36530000000005,-27.41755,"1.0, 1.122018454301964",23.314999999999998,"2515, 430",cluster_d1.00kpc_ra306.1301_dec-27.4480_id32.csv | cluster_d1.12kpc_ra306.6005_dec-27.3871_id40.csv
ACT-CL J2002.0-5335,ClG,Unknown,300.286,-53.6071,1.122018454301964,9.1,331,cluster_d1.12kpc_ra300.2860_dec-53.6071_id19.csv
ACT-CL J2029.6-2112,ClG,Unknown,307.0073,-21.6294,1.0,10.33,480,cluster_d1.00kpc_ra307.0073_dec-21.6294_id39.csv
BSDL  981,As*,Unknown,78.641,-69.2826,3.548133892335757,21.75,652,cluster_d3.55kpc_ra78.6410_dec-69.2826_id3.csv
BSDL 1000,As*,Unknown,78.6842,-69.3504,3.981071705534973,6.62,68,cluster_d3.98kpc_ra78.6842_dec-69.3504_id4.csv
BSDL 1501,As*,Unknown,80.9012,-69.5496,3.981071705534973,8.16,88,cluster_d3.98kpc_ra80.9012_dec-69.5496_id3.csv
BSDL 1768,Cl*,Unknown,81.5341,-69.7605,3.981071705534973,27.37,703,cluster_d3.98kpc_ra81.5341_dec-69.7605_id2.csv
BSDL 1783,As*,Unknown,81.6455,-69.7647,1.7782794100389223,13.82,492,cluster_d1.78kpc_ra81.6455_dec-69.7647_id1.csv
BSDL 2199,Cl*,Unknown,82.7924,-70.2658,3.981071705534973,6.95,72,cluster_d3.98kpc_ra82.7924_dec-70.2658_id1.csv
BSDL 2624,Cl*,Unknown,84.3077,-70.2094,3.548133892335757,6.32,69,cluster_d3.55kpc_ra84.3077_dec-70.2094_id2.csv
CA 1955-692,ClG,Unknown,299.57863333333336,-69.103,"1.0, 1.122018454301964, 1.2589254117941673",12.706666666666669,"419, 778, 354",cluster_d1.00kpc_ra299.2354_dec-69.1094_id6.csv | cluster_d1.12kpc_ra300.1217_dec-69.2180_id7.csv | cluster_d1.26kpc_ra299.3788_dec-68.9816_id4.csv
H88 285,Cl*,Unknown,80.5388,-69.6397,1.9952623149688808,43.55,2259,cluster_d2.00kpc_ra80.5388_dec-69.6397_id1.csv
M   2,GlC,Unknown,323.37718,-0.8352999999999999,"2.23872113856834, 2.511886431509582, 2.8183829312644546, 3.162277660168379, 3.548133892335757",9.370000000000001,"112, 123, 109, 99, 86",cluster_d2.24kpc_ra323.4009_dec-0.8564_id1.csv | cluster_d2.51kpc_ra323.3788_dec-0.8360_id1.csv | cluster_d2.82kpc_ra323.3742_dec-0.8329_id1.csv | cluster_d3.16kpc_ra323.3653_dec-0.8239_id1.csv | cluster_d3.55kpc_ra323.3667_dec-0.8273_id1.csv
MARD J195830.2-573319,ClG,Unknown,299.1749,-57.676050000000004,"1.122018454301964, 1.2589254117941673",14.665,"1244, 180",cluster_d1.12kpc_ra298.6316_dec-57.4975_id16.csv | cluster_d1.26kpc_ra299.7182_dec-57.8546_id12.csv
MARD J200858.7-530120,ClG,Unknown,302.0697,-52.8967,1.0,8.18,319,cluster_d1.00kpc_ra302.0697_dec-52.8967_id15.csv
MCL  2,GrG,Unknown,298.94665,-70.6736,"1.0, 1.2589254117941673",19.19,"1567, 416",cluster_d1.00kpc_ra300.1376_dec-70.4223_id5.csv | cluster_d1.26kpc_ra297.7557_dec-70.9249_id2.csv
MOO J1945-6306,ClG,Unknown,297.7482,-62.5847,1.122018454301964,15.36,621,cluster_d1.12kpc_ra297.7482_dec-62.5847_id13.csv
MOO J1952-5643,ClG,Unknown,298.7769,-56.4861,1.2589254117941673,9.16,293,cluster_d1.26kpc_ra298.7769_dec-56.4861_id14.csv
MOO J2001-7105,ClG,Unknown,299.0543,-71.2415,1.122018454301964,15.06,563,cluster_d1.12kpc_ra299.0543_dec-71.2415_id5.csv
MOO J2016-6556,ClG,Unknown,303.5992,-66.3651,1.122018454301964,9.77,343,cluster_d1.12kpc_ra303.5992_dec-66.3651_id9.csv
MOO J2024-2344,ClG,Unknown,305.96655,-24.3268,"1.0, 1.122018454301964",13.04,"437, 431",cluster_d1.00kpc_ra305.9288_dec-24.2804_id37.csv | cluster_d1.12kpc_ra306.0043_dec-24.3732_id42.csv
MOO J2046-1125,ClG,Unknown,311.41155000000003,-11.8453,"1.0, 1.122018454301964",13.645,"576, 480",cluster_d1.00kpc_ra311.4117_dec-12.1839_id44.csv | cluster_d1.12kpc_ra311.4114_dec-11.5067_id47.csv
NAME Bo A,Cl*,Unknown,6.0286,-72.0807,2.8183829312644546,19.95,2740,cluster_d2.82kpc_ra6.0286_dec-72.0807_id4.csv
NGC   104,GlC,Unknown,6.019275,-72.075675,"1.122018454301964, 1.2589254117941673, 1.4125375446227553, 1.584893192461114, 1.7782794100389223, 1.9952623149688808, 2.23872113856834, 2.511886431509582, 3.162277660168379, 3.548133892335757, 3.981071705534973, 4.466835921509635, 5.011872336272725, 5.62341325190349, 6.309573444801937, 7.07945784384138",21.015625,"366, 361, 433, 507, 621, 743, 993, 1535, 4563, 6246, 6913, 6939, 4775, 3475, 1582, 69",cluster_d1.12kpc_ra5.9711_dec-72.0362_id1.csv | cluster_d1.26kpc_ra5.9962_dec-72.0659_id1.csv | cluster_d1.41kpc_ra6.0002_dec-72.0771_id1.csv | cluster_d1.58kpc_ra6.0235_dec-72.0690_id1.csv | cluster_d1.78kpc_ra6.0155_dec-72.0741_id3.csv | cluster_d2.00kpc_ra6.0097_dec-72.0787_id2.csv | cluster_d2.24kpc_ra6.0238_dec-72.0795_id4.csv | cluster_d2.51kpc_ra6.0258_dec-72.0789_id3.csv | cluster_d3.16kpc_ra6.0001_dec-72.0774_id4.csv | cluster_d3.55kpc_ra5.9949_dec-72.0751_id5.csv | cluster_d3.98kpc_ra5.9928_dec-72.0760_id5.csv | cluster_d4.47kpc_ra5.9934_dec-72.0757_id1.csv | cluster_d5.01kpc_ra5.9922_dec-72.0757_id1.csv | cluster_d5.62kpc_ra6.0020_dec-72.0818_id1.csv | cluster_d6.31kpc_ra6.0125_dec-72.0768_id1.csv | cluster_d7.08kpc_ra6.2547_dec-72.1129_id1.csv
NGC   362,GlC,Unknown,15.8131,-70.85286666666667,"2.511886431509582, 2.8183829312644546, 3.162277660168379, 3.548133892335757, 3.981071705534973, 5.62341325190349",8.365,"144, 114, 100, 85, 70, 57",cluster_d2.51kpc_ra15.8023_dec-70.8488_id4.csv | cluster_d2.82kpc_ra15.8064_dec-70.8600_id5.csv | cluster_d3.16kpc_ra15.8344_dec-70.8529_id5.csv | cluster_d3.55kpc_ra15.8201_dec-70.8573_id6.csv | cluster_d3.98kpc_ra15.8164_dec-70.8551_id6.csv | cluster_d5.62kpc_ra15.7990_dec-70.8431_id2.csv
NGC  1851,GlC,Unknown,78.53305,-40.045375,"3.548133892335757, 3.981071705534973, 7.07945784384138, 7.943282347242822",6.88,"80, 69, 39, 40",cluster_d3.55kpc_ra78.5424_dec-40.0399_id7.csv | cluster_d3.98kpc_ra78.5370_dec-40.0406_id7.csv | cluster_d7.08kpc_ra78.5251_dec-40.0483_id2.csv | cluster_d7.94kpc_ra78.5277_dec-40.0527_id1.csv
NOGG H  928,GrG,Unknown,301.4508,-40.1632,1.122018454301964,20.53,1382,cluster_d1.12kpc_ra301.4508_dec-40.1632_id33.csv
NOGG H  929,GrG,Unknown,301.5185,-60.9135,1.0,8.71,319,cluster_d1.00kpc_ra301.5185_dec-60.9135_id13.csv
NOGG H  933,GrG,Unknown,302.5103,-48.6932,1.0,10.23,471,cluster_d1.00kpc_ra302.5103_dec-48.6932_id21.csv
NOGG P1  941,GrG,Unknown,298.38505,-60.154849999999996,"1.0, 1.122018454301964",27.695,"1971, 1766",cluster_d1.00kpc_ra298.1048_dec-59.6742_id12.csv | cluster_d1.12kpc_ra298.6653_dec-60.6355_id14.csv
OGLE-CL LMC 273,Cl*,Unknown,78.8643,-69.3363,1.7782794100389223,11.03,303,cluster_d1.78kpc_ra78.8643_dec-69.3363_id2.csv
OGLE-CL LMC 399,Cl*,Unknown,80.5975,-69.6631,2.23872113856834,49.4,2881,cluster_d2.24kpc_ra80.5975_dec-69.6631_id2.csv
OGLE-CL SMC 200,Cl*,Unknown,12.8034,-73.021,3.162277660168379,15.29,414,cluster_d3.16kpc_ra12.8034_dec-73.0210_id3.csv
OGLE-CL SMC 205,Cl*,Unknown,12.793,-72.9731,3.548133892335757,8.25,100,cluster_d3.55kpc_ra12.7930_dec-72.9731_id4.csv
OGLE-CL SMC 63,As*,Unknown,12.582149999999999,-73.08175,"2.23872113856834, 2.511886431509582",15.475,"315, 492",cluster_d2.24kpc_ra12.5595_dec-73.0712_id3.csv | cluster_d2.51kpc_ra12.6048_dec-73.0923_id2.csv
OGLE-CL SMC 75,Cl*,Unknown,12.5947,-73.0835,2.8183829312644546,20.5,572,cluster_d2.82kpc_ra12.5947_dec-73.0835_id3.csv
PSZRX G032.81-30.31,ClG,Unknown,310.2113,-13.6956,1.0,7.02,248,cluster_d1.00kpc_ra310.2113_dec-13.6956_id43.csv
QW 1959-535,ClG,Unknown,300.9725,-53.6102,1.2589254117941673,6.6,174,cluster_d1.26kpc_ra300.9725_dec-53.6102_id16.csv
QW 2031-207,ClG,Unknown,308.9071,-20.47,1.0,6.73,216,cluster_d1.00kpc_ra308.9071_dec-20.4700_id40.csv
XCLASS 24622,ClG,Unknown,300.7043,-43.8963,1.122018454301964,17.34,1064,cluster_d1.12kpc_ra300.7043_dec-43.8963_id29.csv
[BE99] OpCl Clump 11,Cl*,Unknown,84.17605,-70.1939,"2.8183829312644546, 3.162277660168379",12.055,"232, 214",cluster_d2.82kpc_ra84.1914_dec-70.1950_id2.csv | cluster_d3.16kpc_ra84.1607_dec-70.1928_id2.csv
[BVH2007] 224,ClG,Unknown,303.1005,-35.7081,1.122018454301964,6.69,194,cluster_d1.12kpc_ra303.1005_dec-35.7081_id36.csv
[CHM2007] HDC 1100,GrG,Unknown,303.72700000000003,-43.85156666666666,"1.0, 1.122018454301964, 1.2589254117941673",11.736666666666666,"889, 544, 190",cluster_d1.00kpc_ra303.7029_dec-43.7725_id24.csv | cluster_d1.12kpc_ra303.6700_dec-43.7802_id27.csv | cluster_d1.26kpc_ra303.8081_dec-44.0020_id20.csv
[CHM2007] HDC 1112,GrG,Unknown,307.6668,-19.61255,"1.122018454301964, 1.2589254117941673",6.935,"195, 220",cluster_d1.12kpc_ra307.6761_dec-19.6042_id44.csv | cluster_d1.26kpc_ra307.6575_dec-19.6209_id31.csv
[CHM2007] LDC 1371,GrG,Unknown,299.1958,-60.2736,1.2589254117941673,10.1,328,cluster_d1.26kpc_ra299.1958_dec-60.2736_id10.csv
[CHM2007] LDC 1381,GrG,Unknown,301.721,-39.3861,1.0,25.9,1755,cluster_d1.00kpc_ra301.7210_dec-39.3861_id26.csv
[CHM2007] LDC 1404,GrG,Unknown,307.8535,-19.8917,1.0,7.12,230,cluster_d1.00kpc_ra307.8535_dec-19.8917_id41.csv
[CHM2007] LDC 1422,GrG,Unknown,312.4269,-9.1786,1.0,10.95,476,cluster_d1.00kpc_ra312.4269_dec-9.1786_id45.csv
[FWB89] GrG  77,GrG,Unknown,297.6811,-55.6441,1.122018454301964,15.26,628,cluster_d1.12kpc_ra297.6811_dec-55.6441_id18.csv
[FWB89] GrG 241,GrG,Unknown,300.6974,-56.2088,1.2589254117941673,9.0,260,cluster_d1.26kpc_ra300.6974_dec-56.2088_id13.csv
[KPS2012] MWSC 4545,OpC,Unknown,300.5008,-49.3907,1.0,17.65,621,cluster_d1.00kpc_ra300.5008_dec-49.3907_id20.csv
[LH2011] 3442,GrG,Unknown,297.7359,-55.1165,1.2589254117941673,8.89,291,cluster_d1.26kpc_ra297.7359_dec-55.1165_id15.csv
[LH2011] 4175,GrG,Unknown,310.7883,-14.6927,1.0,22.54,1085,cluster_d1.00kpc_ra310.7883_dec-14.6927_id42.csv
[LH2011] 4417,GrG,Unknown,307.62514999999996,-22.9295,"1.0, 1.2589254117941673",7.93,"367, 177",cluster_d1.00kpc_ra307.6731_dec-22.9673_id36.csv | cluster_d1.26kpc_ra307.5772_dec-22.8917_id30.csv
[LH2011] 4527,GrG,Unknown,301.1848,-43.1483,1.0,49.66,4348,cluster_d1.00kpc_ra301.1848_dec-43.1483_id25.csv
[LH2011] 4706,GrG,Unknown,306.4505,-25.7617,1.2589254117941673,19.31,565,cluster_d1.26kpc_ra306.4505_dec-25.7617_id28.csv
[LH2011] 4969,GrG,Unknown,297.1883,-58.6116,1.2589254117941673,9.67,324,cluster_d1.26kpc_ra297.1883_dec-58.6116_id11.csv
[SMD2013] HIPASS J1956-50,GrG,Unknown,298.58805,-50.49525,"1.0, 1.122018454301964",10.07,"257, 544",cluster_d1.00kpc_ra298.5876_dec-50.3559_id19.csv | cluster_d1.12kpc_ra298.5885_dec-50.6346_id23.csv
[SPD2011] 15845,ClG,Unknown,313.809,-7.5073,1.0,9.94,375,cluster_d1.00kpc_ra313.8090_dec-7.5073_id46.csv
[SPD2011] 39137,ClG,Unknown,313.9359,-6.1264,1.122018454301964,8.02,292,cluster_d1.12kpc_ra313.9359_dec-6.1264_id50.csv
[T2015] nest 200591,GrG,Unknown,299.64390000000003,-47.98205,"1.0, 1.122018454301964",21.979999999999997,"1274, 1316",cluster_d1.00kpc_ra299.7542_dec-47.7930_id22.csv | cluster_d1.12kpc_ra299.5336_dec-48.1711_id24.csv
[TKK2018] 6611,GrG,Unknown,299.5539,-52.2913,1.0,6.7,217,cluster_d1.00kpc_ra299.5539_dec-52.2913_id17.csv
[VMF98] 198,ClG,Unknown,301.3011,-56.1482,1.122018454301964,6.81,194,cluster_d1.12kpc_ra301.3011_dec-56.1482_id17.csv
